,0
0,73846792192.0
1,8549184000.0
2,191027560448.0
3,272382328832.0
4,11686684672.0
5,177374068736.0
6,60955443200.0
7,43463561216.0
8,174116257792.0
9,88641740800.0
10,10716265472.0
11,13597629440.0
12,35725389824.0
13,35217674240.0
14,53919670272.0
15,14768898048.0
16,5104204288.0
17,26138327040.0
18,23591528448.0
19,19082752000.0
20,8639123456.0
21,14539687936.0
22,34488369152.0
23,1475826941952.0
24,1490144329728.0
25,76712697856.0
26,55238557696.0
27,19241283584.0
28,94181498880.0
29,23091802112.0
30,8437107200.0
31,47340716032.0
32,108027330560.0
33,42179137536.0
34,115292610560.0
35,26471872512.0
36,26853599232.0
37,29883736064.0
38,25570664448.0
39,138242359296.0
40,38495064064.0
41,77365501952.0
42,21068109824.0
43,59242868736.0
44,
45,2284263047168.0
46,81689886720.0
47,25095581696.0
48,29171988480.0
49,33827768320.0
50,9735608320.0
51,149981052928.0
52,14716984320.0
53,38902226944.0
54,44157616128.0
55,27260672000.0
56,13578478592.0
57,25777152000.0
58,
59,260744790016.0
60,6803887104.0
61,33137242112.0
62,71078100992.0
63,11903769600.0
64,
65,15120031744.0
66,15052602368.0
67,13672875008.0
68,30146848768.0
69,93878624256.0
70,35023069184.0
71,81911996416.0
72,74331783168.0
73,8423155712.0
74,14060192768.0
75,53864620032.0
76,173753417728.0
77,202477535232.0
78,16774408192.0
79,16380766208.0
80,
81,12911135744.0
82,41826119680.0
83,8608678912.0
84,13686221824.0
85,14547878912.0
86,41510117376.0
87,14626606080.0
88,15146362880.0
89,10340290560.0
90,30358581248.0
91,18171607040.0
92,99252035584.0
93,12146637824.0
94,24658190336.0
95,21455093760.0
96,13035124736.0
97,49562742784.0
98,18312577024.0
99,7342580736.0
100,18524207104.0
101,11074917376.0
102,120279965696.0
103,83162341376.0
104,283331854336.0
105,36244021248.0
106,83464683520.0
107,23089999872.0
108,88603959296.0
109,18998523904.0
110,38609657856.0
111,180851113984.0
112,93459111936.0
113,15398606848.0
114,12078175232.0
115,17144302592.0
116,74090102784.0
117,19264849920.0
118,270957215744.0
119,36386095104.0
120,67149778944.0
121,179695632384.0
122,9966012416.0
123,16467758080.0
124,120631164928.0
125,33507104768.0
126,46140358656.0
127,15674698752.0
128,25872467968.0
129,27633352704.0
130,39747407872.0
131,208342089728.0
132,21730666496.0
133,72311881728.0
134,64587575296.0
135,27337738240.0
136,123227602944.0
137,23511508992.0
138,180687945728.0
139,14203460608.0
140,7706116096.0
141,91889459200.0
142,18970015744.0
143,7955108864.0
144,37790138368.0
145,7312764416.0
146,21476657152.0
147,36154466304.0
148,28015134720.0
149,9476131840.0
150,173859192832.0
151,56079605760.0
152,35148251136.0
153,63998926848.0
154,14145611776.0
155,17481205760.0
156,38445137920.0
157,24419289088.0
158,81558052864.0
159,21080045568.0
160,29184798720.0
161,7700856832.0
162,12262272000.0
163,50729820160.0
164,26711588864.0
165,43979440128.0
166,23881017344.0
167,59954794496.0
168,34737307648.0
169,
170,308979204096.0
171,47959728128.0
172,24910151680.0
173,22447566848.0
174,66314428416.0
175,17433903104.0
176,21981100032.0
177,58481758208.0
178,27151159296.0
179,17075784704.0
180,92502777856.0
181,9508501504.0
182,10965841920.0
183,15045380096.0
184,28700928000.0
185,43378622464.0
186,15078266880.0
187,16448280576.0
188,22888837120.0
189,371267174400.0
190,9237098496.0
191,14480107520.0
192,28591351808.0
193,7540136448.0
194,61952401408.0
195,23348529152.0
196,26150656000.0
197,21798287360.0
198,57587175424.0
199,60015091712.0
200,17011917824.0
201,13716993024.0
202,46036684800.0
203,9347294208.0
204,19553257472.0
205,8220051456.0
206,17982812160.0
207,17947887616.0
208,11676770304.0
209,44479959040.0
210,19045648384.0
211,19340636160.0
212,13539744768.0
213,61228019712.0
214,69940535296.0
215,45071626240.0
216,48564715520.0
217,19014760448.0
218,78373666816.0
219,9889883136.0
220,32720328704.0
221,101167529984.0
222,28804833280.0
223,22099120128.0
224,11572374528.0
225,54637412352.0
226,13929620480.0
227,10768035840.0
228,45096337408.0
229,33862455296.0
230,17280358400.0
231,31512307712.0
232,17687465984.0
233,285985996800.0
234,119234854912.0
235,26021656576.0
236,11210349568.0
237,13380466688.0
238,36390219776.0
239,60196327424.0
240,18048368640.0
241,8648769536.0
242,126121189376.0
243,13767784448.0
244,30374762496.0
245,56746541056.0
246,29139007488.0
247,16763418624.0
248,17232693248.0
249,151658430464.0
250,54317785088.0
251,16435441664.0
252,10804637696.0
253,29878726656.0
254,110338859008.0
255,72372641792.0
256,7489711104.0
257,40876814336.0
258,13999276032.0
259,16518702080.0
260,13484346368.0
261,16098775040.0
262,465943887872.0
263,34286882816.0
264,349167616000.0
265,9361960960.0
266,24431230976.0
267,50592808960.0
268,16284204032.0
269,25384263680.0
270,45204254720.0
271,12439518208.0
272,38364913664.0
273,48605466624.0
274,46489034752.0
275,34425593856.0
276,45867606016.0
277,22247999488.0
278,59238244352.0
279,10521277440.0
280,25677705216.0
281,13942680576.0
282,21100572672.0
283,8545728512.0
284,149363654656.0
285,18871439360.0
286,13898413056.0
287,115523993600.0
288,14977503232.0
289,118646849536.0
290,11508523008.0
291,29238403072.0
292,20889436160.0
293,17742860288.0
294,52004872192.0
295,9905522688.0
296,44856320000.0
297,78273871872.0
298,18732036096.0
299,11903173632.0
300,316963061760.0
301,20124510208.0
302,22892666880.0
303,185122471936.0
304,47103180800.0
305,121575112704.0
306,233940221952.0
307,443674099712.0
308,52934197248.0
309,26342072320.0
310,13679562752.0
311,32210259968.0
312,62751924224.0
313,1954026881024.0
314,20546222080.0
315,57902309376.0
316,8568148480.0
317,16437263360.0
318,12037866496.0
319,86557884416.0
320,18087354368.0
321,49395126272.0
322,50553647104.0
323,140304924672.0
324,17831536640.0
325,35422765056.0
326,33747310592.0
327,25594998784.0
328,14528090112.0
329,79004917760.0
330,8205966336.0
331,49432997888.0
332,9100463104.0
333,9213054976.0
334,149122646016.0
335,8456320000.0
336,163426156544.0
337,11569088512.0
338,11747600384.0
339,54132572160.0
340,20504444928.0
341,71786053632.0
342,12973135872.0
343,4823440384.0
344,9259810816.0
345,30366144512.0
346,387306651648.0
347,13812516864.0
348,39895269376.0
349,42928799744.0
350,55198273536.0
351,29361158144.0
352,13459235840.0
353,22024232960.0
354,25030443008.0
355,184821841920.0
356,8765222912.0
357,29502564352.0
358,28860821504.0
359,13196122112.0
360,
361,31785615360.0
362,41432940544.0
363,17058130944.0
364,83972251648.0
365,5278665728.0
366,7563999232.0
367,230529220608.0
368,17955735552.0
369,285919608832.0
370,157037445120.0
371,37063122944.0
372,8156813824.0
373,55218225152.0
374,66511011840.0
375,14029999104.0
376,27825770496.0
377,20314376192.0
378,17847095296.0
379,341180481536.0
380,66411216896.0
381,87469768704.0
382,36412739584.0
383,31659622400.0
384,12624091136.0
385,54545928192.0
386,10023633920.0
387,4080393984.0
388,10560464896.0
389,17834246144.0
390,145857593344.0
391,16881306624.0
392,6738163712.0
393,19549143040.0
394,139649581056.0
395,39241461760.0
396,10336128000.0
397,64269848576.0
398,17979779072.0
399,41288941568.0
400,31025885184.0
401,8407641088.0
402,22874281984.0
403,17206953984.0
404,41513619456.0
405,25372624896.0
406,9177535488.0
407,80674750464.0
408,168050851840.0
409,34508599296.0
410,50747154432.0
411,15914021888.0
412,8653849600.0
413,47999541248.0
414,95080210432.0
415,59101601792.0
416,11156361216.0
417,31961485312.0
418,15524879360.0
419,14163043328.0
420,10646505472.0
421,13810527232.0
422,74896064512.0
423,21415665664.0
424,16015875072.0
425,
426,23429507072.0
427,20837791744.0
428,75232968704.0
429,23625199616.0
430,15613299712.0
431,46961233920.0
432,43729559552.0
433,167834845184.0
434,26472368128.0
435,14473609216.0
436,8587212800.0
437,67987693568.0
438,36837474304.0
439,17344069632.0
440,12031200256.0
441,14711110656.0
442,688390078464.0
443,141096304640.0
444,13205661696.0
445,211178192896.0
446,67345649664.0
447,22257661952.0
448,30899204096.0
449,28699613184.0
450,39785533440.0
451,14834572288.0
452,63273787392.0
453,30225256448.0
454,13740581888.0
455,31333890048.0
456,68386734080.0
457,14312219648.0
458,21195636736.0
459,137029025792.0
460,11553434624.0
461,157427695616.0
462,17452118016.0
463,485721997312.0
464,8619618304.0
465,44501798912.0
466,20581515264.0
467,18467827712.0
468,27610101760.0
469,213833891840.0
470,71279550464.0
471,17730179072.0
472,13073506304.0
473,28764870656.0
474,
475,5551081472.0
476,19013971968.0
477,15437018112.0
478,35309432832.0
479,338191450112.0
480,
481,63270293504.0
482,20117565440.0
483,31325849600.0
484,158332895232.0
485,36227940352.0
486,22188349440.0
487,14147685376.0
488,10578767872.0
489,24748447744.0
490,9581617152.0
491,38285594624.0
492,
493,23197618176.0
494,6708164096.0
495,37820440576.0
496,14052656128.0
497,33367328768.0
498,15943201792.0
499,22259148800.0
500,8131382784.0
501,82286075904.0
